-7.000	0.00206419
-6.950	0.00217296
-6.900	0.00228860
-6.850	0.00241161
-6.800	0.00254253
-6.750	0.00268197
-6.700	0.00283057
-6.650	0.00298903
-6.600	0.00315812
-6.550	0.00333866
-6.500	0.00353157
-6.450	0.00373784
-6.400	0.00395853
-6.350	0.00419484
-6.300	0.00444804
-6.250	0.00471955
-6.200	0.00501091
-6.150	0.00532380
-6.100	0.00566008
-6.050	0.00602180
-6.000	0.00641117
-5.950	0.00683066
-5.900	0.00728298
-5.850	0.00777110
-5.800	0.00829832
-5.750	0.00886825
-5.700	0.00948491
-5.650	0.01015273
-5.600	0.01087658
-5.550	0.01166191
-5.500	0.01251471
-5.450	0.01344164
-5.400	0.01445009
-5.350	0.01554825
-5.300	0.01674523
-5.250	0.01805114
-5.200	0.01947723
-5.150	0.02103600
-5.100	0.02274135
-5.050	0.02460872
-5.000	0.02665530
-4.950	0.02890017
-4.900	0.03136451
-4.850	0.03407182
-4.800	0.03704814
-4.750	0.04032222
-4.700	0.04392583
-4.650	0.04789386
-4.600	0.05226456
-4.550	0.05707967
-4.500	0.06238442
-4.450	0.06822753
-4.400	0.07466098
-4.350	0.08173962
-4.300	0.08952045
-4.250	0.09806164
-4.200	0.10742100
-4.150	0.11765400
-4.100	0.12881112
-4.050	0.14093440
-4.000	0.15405327
-3.950	0.16817951
-3.900	0.18330148
-3.850	0.19937775
-3.800	0.21633054
-3.750	0.23403943
-3.700	0.25233616
-3.650	0.27100139
-3.600	0.28976451
-3.550	0.30830737
-3.500	0.32627289
-3.450	0.34327867
-3.400	0.35893528
-3.350	0.37286801
-3.300	0.38474014
-3.250	0.39427508
-3.200	0.40127468
-3.150	0.40563161
-3.100	0.40733393
-3.050	0.40646186
-3.000	0.40317730
-2.950	0.39770804
-2.900	0.39032876
-2.850	0.38134137
-2.800	0.37105654
-2.750	0.35977806
-2.700	0.34779068
-2.650	0.33535175
-2.600	0.32268637
-2.550	0.30998545
-2.500	0.29740618
-2.450	0.28507400
-2.400	0.27308567
-2.350	0.26151283
-2.300	0.25040570
-2.250	0.23979671
-2.200	0.22970381
-2.150	0.22013344
-2.100	0.21108308
-2.050	0.20254347
-2.000	0.19450037
-1.950	0.18693600
-1.900	0.17983031
-1.850	0.17316180
-1.800	0.16690829
-1.750	0.16104749
-1.700	0.15555735
-1.650	0.15041640
-1.600	0.14560394
-1.550	0.14110020
-1.500	0.13688639
-1.450	0.13294481
-1.400	0.12925879
-1.350	0.12581275
-1.300	0.12259213
-1.250	0.11958339
-1.200	0.11677396
-1.150	0.11415218
-1.100	0.11170725
-1.050	0.10942924
-1.000	0.10730893
-0.950	0.10533789
-0.900	0.10350832
-0.850	0.10181310
-0.800	0.10024568
-0.750	0.09880009
-0.700	0.09747087
-0.650	0.09625305
-0.600	0.09514215
-0.550	0.09413409
-0.500	0.09322523
-0.450	0.09241229
-0.400	0.09169239
-0.350	0.09106297
-0.300	0.09052183
-0.250	0.09006707
-0.200	0.08969712
-0.150	0.08941069
-0.100	0.08920679
-0.050	0.08908474
0.000	0.08904598
0.050	0.08908474
0.100	0.08920679
0.150	0.08941069
0.200	0.08969712
0.250	0.09006707
0.300	0.09052183
0.350	0.09106297
